address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 04:34:59,0xb221963cad5856c657647d7126a6fe6a47cac773,29977383422098943864,50358171689943880907322,-1,3,60000000000000000,0x60a73c4c6cf1edf62d6768ac6311f2e1de2f81e72e3502ad6914b31864b9f197
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 04:52:11,0xfb9357f2fec6f437bf7757d5fcb7fb1296816715,5250000000000000000,8603218868680202353304,-1,8,60000000000000000,0xe1e43bd6cad2ca8c4c54c3a4b4f5d213871df540f6ba523a48774f679906e0e1
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 05:02:35,0xfb9357f2fec6f437bf7757d5fcb7fb1296816715,10574882735048075854,8603224332759385307036,68,77,60000000000000000,0xc05cceb27c79590d79b4c8f6b68d5c463ddaea8cee9eba55fd9ad4ddb67fd41c
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 05:13:11,0xfb9357f2fec6f437bf7757d5fcb7fb1296816715,10574882735048075854,15024173674032251709638,13,22,60000000000000000,0x63a2fcc8eb5802258726e9101aaafacfbe2d565fb2188dc2c9616ba68583c89a
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 06:17:23,0xbfc37c3ed28ef2d3679eb0cd148ee609295b81a6,6011520049053289878,8002522409824710401524,19,28,60000000000000000,0xff6e6a1b374227af4a1cb28e11ce1152802a3b99fc9e3350404e2758dbe3f8b9
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 06:24:59,0xbfc37c3ed28ef2d3679eb0cd148ee609295b81a6,6011520049053289878,2310376783365451949474,143,152,60000000000000000,0x3172c875c5f88dccf74ff2d0ad76721b9a177d6711b8f1a3ab46d1e0d76a99c2
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 06:25:23,0x2761a575cf6ea58d9d59426f1733df573d92cf36,96059522344271476,157414457538017780587,-1,8,60000000000000000,0xe64a4d5c7905b5c281b7b94da19baddfe116b325d0c89ad3c352ab3b6a6b1e0b
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 06:26:23,0xbfc37c3ed28ef2d3679eb0cd148ee609295b81a6,3011520049053289878,2310376981118598527374,74,83,60000000000000000,0xb1b5500c3a1285cd857b669dd304f6d17ac0d71a8e363264d8792d1e43b280a6
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 07:18:47,0xbfc37c3ed28ef2d3679eb0cd148ee609295b81a6,1709868446238873052,2310384380366663914907,18,27,60000000000000000,0x66fbc7f93a5f6dbf028da9323aad42b56bee8d35dc8191113697ac7b611c7ae2
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 08:53:47,0xe23786b44c1bb514a22f828f93b0da0673bf2796,223463936406252516,362535703071363809283,2,5,60000000000000000,0x499d1c1120acf96392eeb94d192f45c1c9e4305eb7ac12d5ceab66dd9a522b37
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 10:19:23,0xc343231ed2e07ff9b194c4f7f7c7d2733d537f4c,115792089237316195423570985008687907853269984665640564039457584007913129639935,31516956215245799037,-2,7,60000000000000000,0xdfd338f5b11d357e32eb7b34218f02632bba47859360029666ecaa2a088ee73d
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 10:54:35,0x788e066697f1a792b35e8f95747c11e4e2a85616,8464930721982503570,11500000000000000000000,17,26,60000000000000000,0xb319a14081a5e2e21a83ad90b8cbbb26665faa570b2e0057780d3ac604d389e8
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 12:20:59,0x788e066697f1a792b35e8f95747c11e4e2a85616,14557535726008002490,11500060667479545448542,71,80,60000000000000000,0xa6670be05d426d80c94a2a6c12d1c3a2aaa3ddffa4172eaa871431dc82097b9e
